task,run_name,ratio_percent,seed,eval_f1_macro,eval_auroc,eval_auprc,eval_accuracy,eval_matthews_correlation
core_promoter,core_promoter_r0p05_seed13,0.05,13,0.391696,0.463438,0.477495,,
core_promoter,core_promoter_r0p05_seed42,0.05,42,0.4586767995337194,0.5640282708420077,0.5571244067396279,0.5268581081081081,0.0792992828391299
core_promoter,core_promoter_r0p05_seed3407,0.05,3407,0.4474341964689455,0.5662627534715374,0.5505674799050192,0.5304054054054054,0.0924402884596537
core_promoter,core_promoter_r0p1_seed13,0.1,13,0.482502,0.555684,0.545704,,
core_promoter,core_promoter_r0p1_seed42,0.1,42,0.4620095555408603,0.6255160624803687,0.6219763668379836,0.5422297297297297,0.1369615186171588
core_promoter,core_promoter_r0p1_seed3407,0.1,3407,0.5753443147057582,0.609185250166181,0.6118209053418411,0.5761824324324324,0.1532565264957177
core_promoter,core_promoter_r1_seed13,1.0,13,0.676635,0.811098,0.828274,,
core_promoter,core_promoter_r1_seed42,1.0,42,0.6810658839232597,0.8010471565716331,0.8201381019028625,0.6986486486486486,0.4521868110500122
core_promoter,core_promoter_r1_seed3407,1.0,3407,0.6850137248800119,0.801858144507995,0.8210150114380845,0.7018581081081081,0.4574933193280521
core_promoter,core_promoter_r10_seed13,10.0,13,0.801351,0.87741,0.879398,,
core_promoter,core_promoter_r10_seed42,10.0,42,0.7962208947234284,0.8826612137415174,0.8829012598839627,0.7967905405405405,0.5973996026608974
core_promoter,core_promoter_r10_seed3407,10.0,3407,0.7923635215976406,0.876411111019803,0.880025804706196,0.7923986486486486,0.5851183450579275
core_promoter,core_promoter_r100_seed13,100.0,13,0.820204,0.871411,0.82502,,
core_promoter,core_promoter_r100_seed42,100.0,42,0.8062367254376419,0.8716681641209942,0.8410517122238622,0.80625,0.6126678886325599
core_promoter,core_promoter_r100_seed3407,100.0,3407,0.8263389634144602,0.9072596973863944,0.9082163992855924,0.8263513513513514,0.6528833938541411
nontata_promoter,nontata_promoter_r0p05_seed13,0.05,13,0.557477,0.602789,0.639379,,
nontata_promoter,nontata_promoter_r0p05_seed42,0.05,42,0.5170100283256849,0.6125991330649692,0.6298239807171413,0.5862297985388533,0.1533207702012832
nontata_promoter,nontata_promoter_r0p05_seed3407,0.05,3407,0.5116393993570489,0.5928329797872401,0.6038722744312843,0.5775957493911889,0.1292663876528999
nontata_promoter,nontata_promoter_r0p1_seed13,0.1,13,0.503886,0.787018,0.837381,,
nontata_promoter,nontata_promoter_r0p1_seed42,0.1,42,0.5273412738736385,0.6143566387262758,0.6509752686311032,0.5787026787690945,0.1309607886145024
nontata_promoter,nontata_promoter_r0p1_seed3407,0.1,3407,0.5705307786253,0.6509745795048971,0.6794043069653952,0.6070400708434802,0.1969528531871629
nontata_promoter,nontata_promoter_r1_seed13,1.0,13,0.775203,0.820748,0.882611,,
nontata_promoter,nontata_promoter_r1_seed42,1.0,42,0.7881122886282195,0.8379860394366281,0.8894728701883923,0.7884657958822228,0.6029604629407141
nontata_promoter,nontata_promoter_r1_seed3407,1.0,3407,0.7292745737514854,0.7961719960375175,0.8642579658536117,0.7356652645561214,0.553227711503481
nontata_promoter,nontata_promoter_r10_seed13,10.0,13,0.813987,0.898601,0.932727,,
nontata_promoter,nontata_promoter_r10_seed42,10.0,42,0.8286086660843972,0.9010309270712084,0.935432885070378,0.8292007969891521,0.6940012205635474
nontata_promoter,nontata_promoter_r10_seed3407,10.0,3407,0.8191126455013021,0.9076890533090208,0.9372503758026578,0.8199025902147443,0.6784531567582315
nontata_promoter,nontata_promoter_r100_seed13,100.0,13,0.894504,0.95011,0.966698,,
nontata_promoter,nontata_promoter_r100_seed42,100.0,42,0.8771292973941669,0.9154577069714152,0.934199890576705,0.8771308390524685,0.7691202810756532
nontata_promoter,nontata_promoter_r100_seed3407,100.0,3407,0.88508932583785,0.946632272793844,0.9639354607056364,0.8851007305733894,0.7810581400037712
promoter,promoter_r0p05_seed13,0.05,13,0.4751,0.586574,0.581162,,
promoter,promoter_r0p05_seed42,0.05,42,0.5377184715267777,0.5739575628909281,0.572786767555677,0.5434121621621621,0.0907779601741922
promoter,promoter_r0p05_seed3407,0.05,3407,0.6162893956685385,0.6620684381135005,0.6690182538415134,0.616722972972973,0.2334699530074305
promoter,promoter_r0p1_seed13,0.1,13,0.586212,0.640563,0.640447,,
promoter,promoter_r0p1_seed42,0.1,42,0.3881796778963376,0.7470027507647354,0.7460173273024934,0.5214527027027027,0.1446183732785042
promoter,promoter_r0p1_seed3407,0.1,3407,0.5532505578804943,0.6304777884308086,0.6372646664598933,0.5783783783783784,0.182520039323351
promoter,promoter_r1_seed13,1.0,13,0.890594,0.943899,0.932633,,
promoter,promoter_r1_seed42,1.0,42,0.8848320271758459,0.943176391361914,0.9330265620202236,0.8853040540540541,0.7755312650705058
promoter,promoter_r1_seed3407,1.0,3407,0.8889928751420146,0.9316575354974204,0.9222956627893572,0.8890202702702703,0.7781283348260972
promoter,promoter_r10_seed13,10.0,13,0.905061,0.964324,0.954816,,
promoter,promoter_r10_seed42,10.0,42,0.902836042610458,0.960456273113272,0.9526098155307756,0.9032094594594594,0.8112388517910886
promoter,promoter_r10_seed3407,10.0,3407,0.9099969090586528,0.965549810528238,0.961332743817424,0.9101351351351352,0.8219158376141935
promoter,promoter_r100_seed13,100.0,13,0.920062,0.970103,0.960436,,
promoter,promoter_r100_seed42,100.0,42,0.9214349458491048,0.9758606127014564,0.9740843874385002,0.9214527027027029,0.8429962085137556
promoter,promoter_r100_seed3407,100.0,3407,0.9208463443830834,0.946694916221522,0.9098295366091048,0.920945945945946,0.8432163145856196
splice,splice_r0p05_seed13,0.05,13,0.276599,0.453054,0.30865,,
splice,splice_r0p05_seed42,0.05,42,0.2684626218085404,0.46890158418901,0.3176230930521178,0.5298114861902674,-0.0294474609189865
splice,splice_r0p05_seed3407,0.05,3407,0.242345943715742,0.4535995294043954,0.3068453430754662,0.562034195528277,-0.0217535225467561
splice,splice_r0p1_seed13,0.1,13,0.241855,0.477438,0.319221,,
splice,splice_r0p1_seed42,0.1,42,0.2408468519163659,0.4582641055820308,0.3046216291647211,0.5626918018412976,-0.0212598035988509
splice,splice_r0p1_seed3407,0.1,3407,0.2422763481682769,0.4652808873413668,0.3106046018743572,0.5633494081543183,-0.0134039756723252
splice,splice_r1_seed13,1.0,13,0.240889,0.518125,0.347676,,
splice,splice_r1_seed42,1.0,42,0.240888515563022,0.4989540206493377,0.3361314387878223,0.5657606313020604,0.0
splice,splice_r1_seed3407,1.0,3407,0.240888515563022,0.5236925488318868,0.3496350547858181,0.5657606313020604,0.0
splice,splice_r10_seed13,10.0,13,0.745049,0.88441,0.798558,,
splice,splice_r10_seed42,10.0,42,0.5711360346819467,0.8030333480114962,0.6420452361062878,0.6512494519947392,0.416009865922365
splice,splice_r10_seed3407,10.0,3407,0.702748016204696,0.856258478011816,0.724887615188964,0.7196405085488821,0.5497864989318011
splice,splice_r100_seed13,100.0,13,0.889974,0.965854,0.93814,,
splice,splice_r100_seed42,100.0,42,0.8806263826859362,0.9587364061340508,0.9257801373277066,0.886891714160456,0.8097990767219261
splice,splice_r100_seed3407,100.0,3407,0.8926118554665208,0.9683881792638296,0.9403328275900336,0.897851819377466,0.8284457041646198
