task,ratio_percent,n_paired_seeds,f1_mean_ratio,f1_mean_100,mean_drop,drop_ci95_low,drop_ci95_high,median_drop,drop_min,drop_max,relative_f1_retained,seeds_with_lower_f1,seeds_with_practical_drop_ge_0p05,one_sided_sign_p_degradation,paired_cohens_dz_drop,mean_practical_drop_ge_0p05,ci_entirely_above_0p05,ci_entirely_below_0p05
promoter,0.05,3,0.5430359557317721,0.9207810967440627,0.37774514101229073,0.304556948714545,0.4449620000000001,0.38371647432232714,0.304556948714545,0.444962,0.5897557602474462,3,3,0.125,5.36625175720442,True,True,False
promoter,0.1,3,0.5092140785922773,0.9207810967440627,0.4115670181517855,0.3338500000000001,0.5332552679527671,0.3675957865025892,0.3338500000000001,0.5332552679527671,0.5530240362154358,3,3,0.125,3.85624866294469,True,True,False
promoter,1.0,3,0.8881396341059535,0.9207810967440627,0.03264146263810926,0.02946800000000005,0.03660291867325893,0.0318534692410688,0.02946800000000005,0.03660291867325893,0.9645502467920645,3,0,0.125,8.986831811678769,False,False,True
promoter,10.0,3,0.9059646505563703,0.9207810967440627,0.014816446187692475,0.010849435324430612,0.01859890323864677,0.015001000000000042,0.010849435324430612,0.01859890323864677,0.9839088288844284,3,0,0.125,3.8206126063891444,False,False,True
core_promoter,0.05,3,0.4326023320008883,0.8175932296173674,0.3849908976164791,0.3475599259039225,0.42850800000000006,0.3789047669455147,0.3475599259039225,0.42850800000000006,0.5291168228036155,3,3,0.125,9.432401825418987,True,True,False
core_promoter,0.1,3,0.5066186234155395,0.8175932296173674,0.3109746062018279,0.25099464870870203,0.3442271698967816,0.33770200000000006,0.25099464870870203,0.3442271698967816,0.6196463046209867,3,3,0.125,5.974934855889161,True,True,False
core_promoter,1.0,3,0.6809048696010905,0.8175932296173674,0.13668836001627685,0.12517084151438218,0.14356900000000006,0.14132523853444834,0.12517084151438218,0.14356900000000006,0.8328161791649782,3,3,0.125,13.617963026824977,True,True,False
core_promoter,10.0,3,0.7966451387736897,0.8175932296173674,0.02094809084367773,0.010015830714213525,0.03397544181681966,0.01885300000000001,0.010015830714213525,0.03397544181681966,0.9743783459979465,3,0,0.125,1.7289000636965848,False,False,True
nontata_promoter,0.05,3,0.5287088092275779,0.8855742077440056,0.3568653985164277,0.33702699999999997,0.3734499264808011,0.360119269068482,0.33702699999999997,0.3734499264808011,0.5970237215630524,3,3,0.125,19.365190968693785,True,True,False
nontata_promoter,0.1,3,0.5339193508329795,0.8855742077440056,0.35165485691102616,0.31455854721255005,0.390618,0.3497880235205284,0.31455854721255005,0.390618,0.6029075216555092,3,3,0.125,9.23849710516302,True,True,False
nontata_promoter,1.0,3,0.7641966207932349,0.8855742077440056,0.12137758695077068,0.08901700876594743,0.15581475208636464,0.11930099999999999,0.08901700876594743,0.15581475208636464,0.8629391123980684,3,3,0.125,3.6289253401377835,True,True,False
nontata_promoter,10.0,3,0.8205694371952331,0.8855742077440056,0.06500477054877252,0.04852063130976969,0.08051699999999995,0.06597668033654791,0.04852063130976969,0.08051699999999995,0.9265959080782493,3,2,0.125,4.057647274957787,True,False,False
splice,0.05,3,0.26246918850809414,0.8877374127174856,0.6252682242093915,0.6121637608773958,0.6502659117507787,0.613375,0.6121637608773958,0.6502659117507787,0.29566083928426545,3,3,0.125,28.87127869912202,True,True,False
splice,0.1,3,0.24165940002821426,0.8877374127174856,0.6460780126892715,0.6397795307695703,0.6503355072982439,0.6481190000000001,0.6397795307695703,0.6503355072982439,0.2722194610323584,3,3,0.125,116.07389766690942,True,True,False
splice,1.0,3,0.24088867704201467,0.8877374127174856,0.646848735675471,0.6397378671229141,0.6517233399034987,0.649085,0.6397378671229141,0.6517233399034987,0.27135127301284,3,3,0.125,102.70863400060934,True,True,False
splice,10.0,3,0.6729776836288809,0.8877374127174856,0.21475972908860477,0.14492500000000008,0.30949034800398945,0.18986383926182482,0.14492500000000008,0.30949034800398945,0.7580819215096547,3,3,0.125,2.5247873338783577,True,True,False
